"id","room_type","host_response_rate_num","host_acceptance_rate_num","price_num"
849460179246794510,"Entire home/apt",100,89,270.00
881231954286264195,"Entire home/apt",100,99,89.00
850173470105833039,"Private room",100,100,95.00
850653820133738660,"Private room",100,74,65.00
857981934159027424,"Entire home/apt",86,100,93.00
870457209918967324,"Private room",100,57,55.00
879054943124868639,"Private room",,,169.00
882229561343619620,"Entire home/apt",100,98,80.00
887167811237271928,"Private room",80,49,50.00
887179061681202083,"Private room",80,49,50.00
888859204851381094,"Entire home/apt",100,99,101.00
898743867240851780,"Entire home/apt",100,98,245.00
899222617912073384,"Private room",100,100,65.00
902166216060824525,"Entire home/apt",99,99,155.00
902326803627859755,"Private room",100,98,63.00
904392960639597224,"Entire home/apt",94,88,166.00
905007131419044966,"Entire home/apt",100,98,222.00
908035738595779392,"Entire home/apt",78,78,
917510613914219375,"Private room",100,83,
917639722733180899,"Entire home/apt",100,99,150.00
919055506310955442,"Private room",100,100,93.00
921076441920995839,"Entire home/apt",100,100,80.00
922634062451094710,"Entire home/apt",,67,110.00
928948908785846870,"Entire home/apt",100,98,66.00
966287799980701967,"Entire home/apt",100,87,99.00
932618854176539492,"Entire home/apt",99,98,125.00
932642358896439621,"Entire home/apt",99,98,150.00
934035097653060273,"Private room",73,100,127.00
937837897631191844,"Private room",93,94,184.00
937838302933205871,"Private room",93,94,184.00
937917144482762419,"Private room",93,94,184.00
937927979762952955,"Private room",93,94,184.00
937935210290408974,"Private room",93,94,184.00
937943638262956751,"Private room",93,94,271.00
937959604296602771,"Private room",93,94,
937966967490420635,"Private room",93,94,
938260134617291567,"Private room",93,94,
938266199766701429,"Private room",93,94,
1040121861433023182,"Entire home/apt",91,94,62.00
938271786418327576,"Private room",93,94,
938280419686165005,"Entire home/apt",93,94,364.00
938421117122010799,"Private room",100,82,55.00
938431811499141903,"Private room",100,82,40.00
963920695464462572,"Entire home/apt",100,100,89.00
938475906652462790,"Entire home/apt",100,92,125.00
942750363293463100,"Private room",100,82,55.00
950211425725610511,"Entire home/apt",100,99,126.00
950613505102507073,"Entire home/apt",,100,
956423465030072969,"Entire home/apt",100,100,
957914480227791276,"Entire home/apt",100,99,140.00
969886763377526954,"Private room",100,97,65.00
977732791678350126,"Entire home/apt",100,98,129.00
980034348801186320,"Entire home/apt",100,100,125.00
983306819910081094,"Entire home/apt",100,73,
984424314263349846,"Entire home/apt",,,98.00
989010058281318863,"Entire home/apt",100,67,85.00
989897095065962672,"Entire home/apt",100,30,218.00
992119832780871644,"Entire home/apt",100,99,101.00
993431459821117738,"Entire home/apt",0,61,
999161887055542119,"Entire home/apt",100,100,151.00
1004978540001566331,"Entire home/apt",100,91,187.00
1005314747552182329,"Entire home/apt",100,99,83.00
1005978346817864540,"Entire home/apt",100,99,212.00
1007354086435981132,"Entire home/apt",99,98,189.00
1010759793485911351,"Private room",100,97,60.00
1010759799610182054,"Private room",100,97,60.00
1052381112116173923,"Entire home/apt",100,81,120.00
1013659440189111738,"Private room",100,97,65.00
1014739415604882278,"Entire home/apt",100,39,63.00
1014871544925070480,"Entire home/apt",100,99,423.00
1015385216942267174,"Private room",0,0,24.00
1016050146219474145,"Entire home/apt",100,98,101.00
1056068682616336229,"Private room",100,74,102.00
1018299533220989494,"Private room",100,97,65.00
1018972187574908115,"Entire home/apt",100,99,73.00
1020518500251473070,"Entire home/apt",100,100,77.00
1020993107237604444,"Entire home/apt",99,99,120.00
1040624808363695229,"Entire home/apt",100,98,103.00
1021011347006185640,"Entire home/apt",99,99,122.00
1023053182224590019,"Entire home/apt",100,99,115.00
1028530521404077289,"Entire home/apt",100,99,165.00
1034722814589239236,"Entire home/apt",100,94,87.00
1056469473906808728,"Private room",,,103.00
1041185569146627476,"Entire home/apt",99,99,118.00
1043565517982254841,"Entire home/apt",100,100,110.00
1043698525924990350,"Entire home/apt",,,1750.00
1046458066266475264,"Private room",100,72,85.00
1051544181986274174,"Entire home/apt",100,50,53.00
1057932481605319073,"Shared room",,100,105.00
1061814091773376272,"Entire home/apt",100,99,356.00
1062527013885315764,"Private room",100,74,59.00
1072781767409521866,"Entire home/apt",90,97,91.00
1073179963201889958,"Entire home/apt",100,50,53.00
1075444056381274297,"Entire home/apt",100,94,139.00
1079742757364810916,"Entire home/apt",100,100,137.00
1090781013234004527,"Entire home/apt",100,100,68.00
1090800410444414860,"Entire home/apt",100,100,68.00
1091422934956081673,"Entire home/apt",99,98,105.00
1091500387329731524,"Entire home/apt",99,98,87.00
1097201673425863720,"Entire home/apt",100,94,80.00
1097995825442731795,"Entire home/apt",99,98,92.00
1100876731732967826,"Entire home/apt",100,99,100.00
1102984130027939637,"Entire home/apt",100,99,77.00
1104977057298366617,"Private room",100,97,65.00
1105303461851883481,"Entire home/apt",100,0,140.00
1108060100336766656,"Private room",,55,70.00
1169514128026903528,"Entire home/apt",100,94,282.00
1111221935683053416,"Entire home/apt",100,100,116.00
1114084795618939736,"Entire home/apt",64,14,67.00
1119691401020641385,"Entire home/apt",100,84,95.00
1119844407084108907,"Entire home/apt",100,100,96.00
1120212616553191970,"Entire home/apt",100,84,92.00
1121699903906738345,"Entire home/apt",100,89,100.00
1123231471304541808,"Entire home/apt",100,99,130.00
1124558577325015506,"Entire home/apt",93,70,85.00
1124632058968031818,"Entire home/apt",93,70,110.00
1128332989288304495,"Entire home/apt",100,99,
1175235317794137317,"Entire home/apt",100,74,
1128386510439836615,"Entire home/apt",100,83,85.00
1129005873707096339,"Entire home/apt",100,98,125.00
1131258472427093335,"Entire home/apt",100,95,180.00
1134940445251354534,"Entire home/apt",100,100,85.00
1135812630237897119,"Private room",80,50,75.00
1136433500940918827,"Private room",100,98,50.00
1138989607102299187,"Entire home/apt",99,98,110.00
1141525488442370659,"Private room",80,50,
1142828940864329671,"Entire home/apt",80,50,
1142832011692120213,"Entire home/apt",100,71,119.00
1146241260871564965,"Entire home/apt",100,100,99.00
1146352622413555849,"Private room",100,93,55.00
1147092019793504034,"Entire home/apt",100,100,95.00
1150611568915810847,"Entire home/apt",100,100,118.00
1158059552251999833,"Private room",100,98,56.00
1158239701426064904,"Entire home/apt",100,83,68.00
1160398377613465255,"Private room",64,14,45.00
1164651175585600815,"Entire home/apt",99,99,119.00
1211909842540237261,"Entire home/apt",100,0,200.00
1170384250566304506,"Entire home/apt",100,94,219.00
1171795874799450911,"Entire home/apt",99,98,165.00
1171885189346375850,"Private room",100,94,73.00
1173390858101803102,"Entire home/apt",99,98,250.00
1174544643387116469,"Entire home/apt",100,98,106.00
1182574461437954732,"Entire home/apt",100,98,108.00
1183457852972127594,"Entire home/apt",100,98,100.00
1183460523409924571,"Entire home/apt",100,98,101.00
1184656403266667138,"Entire home/apt",99,98,145.00
1185537980724624711,"Entire home/apt",100,97,65.00
1185591493744586895,"Private room",100,98,70.00
1187591175698501325,"Entire home/apt",99,98,200.00
1189245100874558445,"Entire home/apt",100,99,111.00
1189249179392132534,"Entire home/apt",100,99,86.00
1191466513839284968,"Private room",90,23,90.00
1191895319439613036,"Private room",64,14,52.00
1192795085655166314,"Private room",100,71,46.00
1196459023545165129,"Entire home/apt",100,99,215.00
1198592120169206200,"Private room",100,98,50.00
1201525324551556925,"Private room",100,89,68.00
1208695175897245796,"Private room",100,98,36.00
1209313814437527365,"Private room",100,74,71.00
1210875317904799284,"Entire home/apt",100,,199.00
1223296094447723679,"Entire home/apt",100,98,100.00
1223423894415302002,"Entire home/apt",100,99,104.00
1223845635352908531,"Entire home/apt",100,93,110.00
1223982811498688622,"Entire home/apt",100,99,85.00
1224184445857718550,"Private room",80,50,48.00
1227494196390230149,"Entire home/apt",100,0,202.00
1237213202014250081,"Private room",,,52.00
1229287611382413342,"Entire home/apt",100,98,136.00
1229302903741056027,"Entire home/apt",100,98,143.00
1229321787815935750,"Entire home/apt",100,98,142.00
1229336497403850446,"Entire home/apt",100,98,120.00
1233366548908684664,"Entire home/apt",100,100,70.00
1237963668912797614,"Entire home/apt",100,97,96.00
